"poll_id","status","Latitude","Longitude","location_line_1","location_line_2","city","Precincts"
8334,"A",41.5140791015513813,-81.4542748330784150,"MAYFIELD HTS AQUATIC & COMMUNITY CENTER","6080 MARSOL ROAD","MAYFIELD HTS","E F G K L"
8205,"A",41.5386120000000005,-81.4395949999999971,"MAYFIELD VILLAGE CIVIC CENTER","6622 WILSON MILLS ROAD","MAYFIELD VILLAGE","1A 2A 3A 4A"
8041,"A",41.5709190000000035,-81.5763280000000037,"MEMORIAL SCHOOL","410 EAST 152ND STREET","CLEVELAND","9Q 10D 10J"
8179,"A",41.5193620000000010,-81.4922470000000061,"MESSIAH LUTHERAN CHURCH","5200 MAYFIELD ROAD","LYNDHURST","4A 4B 4C"
6770,"A",41.4024879999999982,-81.7197660000000070,"MICHAEL A RIES RINK","5000 FORESTWOOD DRIVE","PARMA","2A 2B 2C 2D"
4190,"A",41.4750080000000025,-81.7285820000000029,"MICHAEL ZONE RECREATION CENTER","6301 LORAIN AVENUE","CLEVELAND","7I 7L 11G"
8244,"A",41.3700949999999992,-81.8163049999999998,"MIDDLEBURG HTS BRANCH LIBRARY","16699 EAST BAGLEY ROAD","MIDDLEBURG HTS","1B 2A"
6065,"A",41.3727209999999985,-81.8124619999999965,"MIDDLEBURG HTS COMMUNITY CENTER","16000 EAST BAGLEY ROAD","MIDDLEBURG HTS","1A 1C 3A 3C"
8147,"A",41.4479389999999981,-81.6219210000000004,"MILES PARK K-8 SCHOOL","4090 EAST 93RD STREET","CLEVELAND","2F 2O"
2330,"A",41.4445079999999990,-81.5992839999999973,"MILES PRE K-8","11918 MILES AVENUE","CLEVELAND","2L 2P"
8302,"A",41.5734330000000014,-81.5239119999999957,"MOORE COUNSELING AND MEDIATION SERVICES","22639 EUCLID AVENUE","EUCLID","1C 1D 2C"
3290,"A",41.4831560000000010,-81.6147799999999961,"MORNING STAR BAPTIST CHURCH","10250 SHAKER BOULEVARD","CLEVELAND","6C 6P 6Q"
8182,"A",41.4625839999999997,-81.6483319999999964,"MOUND-STEM SCHOOL","5935 ACKLEY ROAD","CLEVELAND","3H 3I"
8332,"A",41.4443963749809825,-81.5275292318764997,"MOUNT ZION FELLOWSHIP","4265 NORTHFIELD ROAD","HIGHLAND HILLS","1A 1B 2A 2B 3A 3B"
